倚	倚 廣州話：ji2
借	借 廣州話：ze3
倡	倡 廣州話：coeng1_提倡又讀coeng3
倣	倣 廣州話：fong2
倥	倥 廣州話：1)hung1:倥侗_2)hung2:倥傯
倦	倦 廣州話：gyun6
倨	倨 廣州話：geoi3
倩	倩 廣州話：sin6_(又)sin3
倪	倪 廣州話：ngai4
倫	倫 廣州話：leon4
倭	倭 廣州話：wo1_(古)wai1倭遲
值	值 廣州話：zik6
偃	偃 廣州話：jin2
假	假 廣州話：1)gaa2:真假_2)gaa3:休假
偉	偉 廣州話：wai5
偌	偌 廣州話：je6
偎	偎 廣州話：wui1
偏	偏 廣州話：pin1
偕	偕 廣州話：gaai1
做	做 廣州話：zou6
停	停 廣州話：ting4
健	健 廣州話：gin6
側	側 廣州話：zak1
偵	偵 廣州話：zing1
偶	偶 廣州話：ngau5
偷	偷 廣州話：tau1
偽	偽 廣州話：ngai6
傀	傀 廣州話：1)faai3:傀儡_2)gwai1:傀偉
傅	傅 廣州話：fu6
傍	傍 廣州話：1)bong6:依山傍水_2)pong4:傍晚
傑	傑 廣州話：git6
傖	傖 廣州話：cong1
傘	傘 廣州話：saan3
備	備 廣州話：bei6
傢	傢 廣州話：gaa1
催	催 廣州話：ceoi1
傭	傭 廣州話：jung4
傲	傲 廣州話：ngou6
傳	傳 廣州話：1)cyun4:傳達_2)zyun6:小傳
債	債 廣州話：zaai3
傷	傷 廣州話：soeng1
傻	傻 廣州話：so4
傾	傾 廣州話：king1
僅	僅 廣州話：gan2
像	像 廣州話：zoeng6
僑	僑 廣州話：kiu4
僕	僕 廣州話：buk6
僖	僖 廣州話：hei1
僚	僚 廣州話：liu4
僥	僥 廣州話：hiu1_(古)jiu4僬僥
僧	僧 廣州話：zang1
僭	僭 廣州話：cim3
僮	僮 廣州話：1)tung4:書僮_2)zong6:僮族
僱	僱 廣州話：gu3
僵	僵 廣州話：goeng1
價	價 廣州話：gaa3
僻	僻 廣州話：pik1
儀	儀 廣州話：ji4
儂	儂 廣州話：nung4
億	億 廣州話：jik1
儈	儈 廣州話：kui2_(又)kui3
儉	儉 廣州話：gim6
儐	儐 廣州話：ban3
儒	儒 廣州話：jyu4
儔	儔 廣州話：cau4
儘	儘 廣州話：1)zeon6:儘量_2)zeon2:儘管
償	償 廣州話：soeng4
儡	儡 廣州話：leoi5
優	優 廣州話：jau1
儲	儲 廣州話：cyu5
儷	儷 廣州話：lai6
儼	儼 廣州話：jim5
兀	兀 廣州話：ngat6
允	允 廣州話：wan5
元	元 廣州話：jyun4
兄	兄 廣州話：hing1
充	充 廣州話：cung1
兆	兆 廣州話：siu6
兇	兇 廣州話：hung1
先	先 廣州話：sin1
光	光 廣州話：gwong1
克	克 廣州話：hak1
兌	兌 廣州話：deoi3
免	免 廣州話：min5
兒	兒 廣州話：ji4
兔	兔 廣州話：tou3
兕	兕 廣州話：zi6
兗	兗 廣州話：jin5
兜	兜 廣州話：dau1
兢	兢 廣州話：ging1
入	入 廣州話：jap6
內	內 廣州話：noi6_(古)同納
全	全 廣州話：cyun4
兩	兩 廣州話：1)loeng5:兩本書_2)loeng2:十兩
八	八 廣州話：baat3
公	公 廣州話：gung1
六	六 廣州話：luk6
兮	兮 廣州話：hai4
共	共 廣州話：gung6
兵	兵 廣州話：bing1
其	其 廣州話：kei4
具	具 廣州話：geoi6
典	典 廣州話：din2
兼	兼 廣州話：gim1
冀	冀 廣州話：kei3
冉	冉 廣州話：jim5
冊	冊 廣州話：caak3
再	再 廣州話：zoi3
冑	冑 廣州話：zau6
冒	冒 廣州話：mou6_(古人名)mak6冒頓
冕	冕 廣州話：min5
冗	冗 廣州話：jung2
冠	冠 廣州話：1)gun1:衣冠_2)gun3:冠軍
冢	冢 廣州話：cung2
冤	冤 廣州話：jyun1
冥	冥 廣州話：ming4_(又)ming5
冪	冪 廣州話：mik6
冬	冬 廣州話：dung1
冰	冰 廣州話：bing1
冶	冶 廣州話：je5
冷	冷 廣州話：laang5
冽	冽 廣州話：lit6
